Stock,Availability,Shape,Weight,Color,Clarity,Cut,Polish,Symmetry,FluorescenceColor,FluorescenceIntensity,Measurements,Lab,Certificate,Rap,Discount,percarat,FancyColor,FancyColorIntensity,FancyColorOvertone,Depth,Table,GirdleThin,GirdleThick,Girdle,GirdleCondition,CuletSize,CuletCondition,CrownHeight,CrownAngle,PavilionDepth,PavilionAngle,Country,DiamondImage,VIDEO,CertPDFUrl,Heartimage,ArrowImage,AssetImage,Keytosymbols,Shade,BlackInclusion,Milky,EyeClean,Origin,Certi Comment,Table Inc.,Table Black,Table Open,Side Inc.,Side Black,Side Open,Girdle Open,Pavallion Open
283216,Subject to Prior Sale,HEART,2.12,*,VVS2,,VG,VG,,FNT,7.470 - 8.520 X 4.650,GIA,2225949026,2800.0,0.0,2800.0,YELLOW,FANCY,BROWNISH,54.5,53.0,THK,ETK,0.0,FACETED,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/K466-283216/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=K466-283216,https://thnk18.azureedge.net/img/CertImages/2225949026.jpg,,,,NEEDLE  PINPOINT  FEATHER,NONE,NONE,NONE,100.0,-,ADDITIONAL PINPOINTS ARE NOT SHOWN. CLOUDS ARE NOT SHOWN.,MINOR CLOUD,NONE,NONE,MINOR FEATHER,NONE,NONE,NONE,HAIR LINE
283220,Subject to Prior Sale,ROUND,1.9,K,VVS1,EX,EX,EX,,FNT,7.880 - 7.840 X 4.970,GIA,1468864487,7200.0,30.0,5040.0,NONE,NONE,NONE,63.2,57.0,MED,STK,4.0,Faceted,NON,,15.0,35.0,44.0,41.4,MUM,https://thnk18.azureedge.net/img/images/imaged/K193-283220/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=K193-283220,https://thnk18.azureedge.net/img/CertImages/1468864487.jpg,,,,Pinpoint  Feather,NONE,NONE,NONE,100.0,-,A manufacturing remnant is not shown.,NONE,NONE,NONE,MINOR PINPOINT,NONE,NONE,NONE,NONE
283224,Subject to Prior Sale,ROUND,0.5,G,SI1,EX,EX,VG,,NON,5.050 - 5.030 X 3.150,GIA,1463634131,2500.0,41.0,1475.0,NONE,NONE,NONE,62.5,57.0,THN,STK,4.0,FACETED,NON,,15.5,36.0,42.5,40.6,MUM,https://thnk18.azureedge.net/img/images/imaged/K472-283224R/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=K472-283224R,https://thnk18.azureedge.net/img/CertImages/1463634131.jpg,,,,FEATHER  CLOUD,MIX TINGE 1,PIN POINT BLK,NONE,95.0,-,,MINOR FEATHER,PIN POINT BLK,NONE,MINOR CLOUD,MINOR BLK,SMALL OPEN,SMALL OPEN,NONE
283225,Subject to Prior Sale,ROUND,1.0,H,VS1,VG,EX,VG,,VSL,6.310 - 6.230 X 3.940,IGI,573308473,7700.0,63.0,2849.0,NONE,NONE,NONE,62.8,59.0,SLIGHTLY THICK,THICK (FACETED,5.0,,NON,,15.5,36.3,42.5,40.5,MUM,https://thnk18.azureedge.net/img/images/imaged/K213-283225/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=K213-283225,https://thnk18.azureedge.net/img/CertImages/573308473.jpg,,,,,NONE,NONE,NONE,100.0,-,N/A,MINOR CRYSTAL,NONE,NONE,MINOR FEATHER,PIN POINT BLK,SMALL OPEN,MEDIUM OPEN,NONE
283226,Subject to Prior Sale,ROUND,1.0,E,SI2,VG,EX,VG,,NON,6.560 - 6.470 X 3.840,HRD,230000075980,5600.0,53.5,2604.0,NONE,NONE,NONE,58.9,60.0,MEDIUM,,3.0,FACETED,MEDIUM,,13.0,32.8,42.5,40.8,MUM,https://thnk18.azureedge.net/img/images/imaged/K470-283226/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=K470-283226,https://thnk18.azureedge.net/img/CertImages/230000075980.jpg,,,,,NONE,MINOR BLK,NONE,80.0,-,,MEDIUM SPREADED,MINOR BLK,NONE,MEDIUM FEATHER,PIN POINT BLK,HAIR LINE,HAIR LINE,SMALL OPEN
283230,Subject to Prior Sale,HEART,0.9,H,VS2,,EX,VG,,NON,5.920 - 6.720 X 3.970,GIA,1465634035,4500.0,46.0,2430.0,NONE,NONE,NONE,59.0,60.0,STK,THK,0.0,FACETED,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/K472-283230/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=K472-283230,https://thnk18.azureedge.net/img/CertImages/1465634035.jpg,,,,CRYSTAL  FEATHER  KNOT,NONE,NONE,NONE,100.0,-,,MINOR CRYSTAL,NONE,NONE,MINOR CRYSTAL,NONE,NONE,NONE,NONE
283231,Subject to Prior Sale,SQUARE EMERALD,1.2,E,VS2,,EX,VG,,FNT,5.720 - 5.660 X 3.830,GIA,1463625280,7200.0,60.0,2880.0,NONE,NONE,NONE,67.6,69.0,THK,VTK,0.0,POLISHED,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/K196-283231/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=K196-283231,https://thnk18.azureedge.net/img/CertImages/1463625280.jpg,,,,CRYSTAL  NEEDLE  PINPOINT,NONE,MINOR BLK,NONE,100.0,-,ADDITIONAL PINPOINTS ARE NOT SHOWN.,MINOR CRYSTAL,MINOR BLK,NONE,NONE,NONE,NONE,NONE,NONE
283234,Subject to Prior Sale,PEAR,1.53,D,SI2,,EX,EX,,NON,10.080 - 6.350 X 3.990,GIA,6465960156,8100.0,36.5,5143.5,NONE,NONE,NONE,62.8,61.0,MED,THK,0.0,Faceted,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/K204-283234/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=K204-283234,https://thnk18.azureedge.net/img/CertImages/6465960156.jpg,,,,Crystal  Feather  Needle,NONE,MINOR BLK,NONE,90.0,-,Pinpoints are not shown.,MINOR CRYSTAL,MINOR BLK,NONE,MINOR FEATHER,PIN POINT BLK,HAIR LINE,NONE,HAIR LINE
283235,Subject to Prior Sale,TRAPEZ,0.81,F,VS1,,EX,EX,,NON,4.260 - 8.100 X 2.550,GIA,6465944312,4500.0,12.0,3960.0,NONE,NONE,NONE,31.5,78.0,MED,STK,0.0,POLISHED,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/K470-283235/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=K470-283235,https://thnk18.azureedge.net/img/CertImages/6465944312.jpg,,,,CLOUD  NEEDLE  PINPOINT,NONE,PIN POINT BLK,NONE,100.0,-,,MINOR CLOUD,PIN POINT BLK,NONE,NONE,NONE,NONE,NONE,NONE
283237,Subject to Prior Sale,OVAL,1.5,H,SI2,,VG,VG,BLUE,MED,8.770 - 6.390 X 4.070,GIA,6461685946,6600.0,55.0,2970.0,NONE,NONE,NONE,63.6,63.0,STK,VTK,0.0,FACETED,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/K468-283237/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=K468-283237,https://thnk18.azureedge.net/img/CertImages/6461685946.jpg,,,,TWINNING WISP  CRYSTAL  FEATHER  NEEDLE  INDENTED NATURAL  NATURAL,LIGHT BROWN,MEDIUM BLK,NONE,80.0,-,ADDITIONAL TWINNING WISPS  CLOUDS  PINPOINTS AND SURFACE GRAINING ARE NOT SHOWN.,MINOR CLOUD,MEDIUM BLK,HAIR LINE,MEDIUM FEATHER,MINOR BLK,HAIR LINE,SMALL OPEN,HAIR LINE
